,Item_Fat_Content,Item_Identifier,Item_MRP,Item_Outlet_Sales,Item_Type,Item_Visibility,Item_Weight,Outlet_Establishment_Year,Outlet_Identifier,Outlet_Location_Type,Outlet_Size,Outlet_Type,source
0,Low Fat,FDA15,0.8550142955130426,-0.4328266857084565,Dairy,-0.9232020996486475,-0.4349508782375706,1999,OUT049,Tier 1,Medium,Supermarket Type1,train
1,Regular,DRC01,-0.855863197712718,-0.9371620932367641,Soft Drinks,-0.9033082981531866,-0.8374516225066984,2009,OUT018,Tier 3,Medium,Supermarket Type2,train
2,Low Fat,FDN15,-0.06342318114214707,-0.6837702744057941,Meat,-0.9188133167598604,0.5415302173265855,1999,OUT049,Tier 1,Medium,Supermarket Type1,train
3,Regular,FDX07,0.28018696222045647,-0.8928899316535753,Fruits and Vegetables,-0.6159177253355185,0.7439714200654954,1998,OUT010,Tier 3,Medium,Grocery Store,train
4,Low Fat,NCD19,-0.8083908889024713,-0.8526981536264409,Household,-0.6159177253355185,-0.47901161059839237,1987,OUT013,Tier 3,High,Supermarket Type1,train
5,Regular,FDP36,-0.8292789764276838,-0.9198204631235335,Baking Goods,-0.6159177253355185,-0.30455492706162546,2009,OUT018,Tier 3,Medium,Supermarket Type2,train
6,Regular,FDO10,-0.7761546767719985,-0.9524635315719677,Snack Foods,-0.9435595294262525,0.0830604346531707,1987,OUT013,Tier 3,High,Supermarket Type1,train
7,Low Fat,FDP10,-0.3508258120598441,-0.38875854330307036,Snack Foods,-0.23713694127064155,-0.01901110703840536,1985,OUT027,Tier 3,Medium,Supermarket Type3,train
8,Regular,FDH17,-0.44241896379601897,-0.8401509741915739,Frozen Foods,-0.91926256152517,0.3867222387615361,2002,OUT045,Tier 2,Medium,Supermarket Type1,train
9,Regular,FDU28,0.3287984977826677,-0.2833826379679689,Frozen Foods,-0.44045353642251583,0.7439714200654954,2007,OUT017,Tier 2,Medium,Supermarket Type1,train
10,Low Fat,FDY07,-0.8790297387418591,-0.7728246455166785,Fruits and Vegetables,-0.6159177253355185,-0.13724322715093762,1999,OUT049,Tier 1,Medium,Supermarket Type1,train
11,Regular,FDA03,-0.04226684052183716,-0.669998979904111,Dairy,-0.7420752502376344,0.6606132777612386,1997,OUT046,Tier 1,Small,Supermarket Type1,train
12,Regular,FDX32,-0.030650462821479207,-0.7616035907375293,Fruits and Vegetables,-0.40619472086141006,0.25573087228341773,1999,OUT049,Tier 1,Medium,Supermarket Type1,train
13,Regular,FDS46,-0.249670625946526,-0.6764255840048963,Snack Foods,-0.7310317448711388,0.5534385233700507,1997,OUT046,Tier 1,Small,Supermarket Type1,train
14,Low Fat,FDF32,0.4019840542210813,-0.7021320004080382,Fruits and Vegetables,-0.6031626989105379,0.40458469782673445,1987,OUT013,Tier 3,High,Supermarket Type1,train
15,Regular,FDP49,-0.7871683339105868,-0.7680301948383147,Breakfast,-0.5966072325507115,-0.47067579636796664,1997,OUT046,Tier 1,Small,Supermarket Type1,train
16,Low Fat,NCB42,-0.28641960217047313,-0.7566051208813628,Health and Hygiene,-0.9690818855275868,-0.13724322715093762,2009,OUT018,Tier 3,Medium,Supermarket Type2,train
17,Regular,FDP49,-0.8041463779040945,-0.8950321330205039,Breakfast,-0.5959458432267475,-0.47067579636796664,1999,OUT049,Tier 1,Medium,Supermarket Type1,train
18,Low Fat,DRI11,-0.3039562238113671,-0.6521473018463735,Hard Drinks,-0.8111979680819541,-0.01901110703840536,1985,OUT027,Tier 3,Medium,Supermarket Type3,train
19,Low Fat,FDU02,0.69139688554761,-0.5840048964602671,Dairy,-0.39093304599138745,0.04733551652277468,2004,OUT035,Tier 2,Small,Supermarket Type1,train
20,Regular,FDN22,0.8640398236999913,-0.4267061103743751,Snack Foods,-0.17112780533609395,0.7022923489133674,1987,OUT013,Tier 3,High,Supermarket Type1,train
21,Regular,FDW12,-0.03858090717084672,-0.3824339487911863,Baking Goods,-0.804041669713261,-0.01901110703840536,1985,OUT027,Tier 3,Medium,Supermarket Type3,train
22,Low Fat,NCB30,0.4025426318684677,-0.7619096195042333,Household,-0.8637787610687582,0.19618934206609118,2004,OUT035,Tier 2,Small,Supermarket Type1,train
23,Low Fat,FDC37,-0.3514064611644222,-0.9722533918188309,Baking Goods,-0.6676133044452056,-0.01901110703840536,1985,OUT019,Tier 1,Small,Grocery Store,train
24,Regular,FDR28,0.13524540064788204,-0.38029174742425775,Frozen Foods,-0.8625574490192532,0.10687704674010123,1997,OUT046,Tier 1,Small,Supermarket Type1,train
25,Low Fat,NCD06,-0.8759244544954465,-0.8765683974293583,Household,-0.4069729885743093,0.005656445370646024,2007,OUT017,Tier 2,Small,Supermarket Type1,train
26,Regular,FDV10,-0.906440790769377,-0.841885137202897,Snack Foods,-0.6113572581421034,-0.6320333432569216,2004,OUT035,Tier 2,Small,Supermarket Type1,train
27,Low Fat,DRJ59,-0.9335615182446062,-0.9577680301948382,Hard Drinks,-0.9028285438305503,-0.15510568621613574,1987,OUT013,Tier 3,High,Supermarket Type1,train
28,Regular,FDE51,-0.8792979918369564,-0.9777619096195042,Dairy,-0.027808270060380336,-0.8368562072045251,1998,OUT010,Tier 3,High,Grocery Store,train
29,Regular,FDC14,-0.8951147376213082,-0.9858206671427113,Canned,-0.577317310941186,-0.01901110703840536,1985,OUT019,Tier 1,Small,Grocery Store,train
30,Low Fat,FDV38,-0.7919714225563501,-0.980006120575334,Dairy,0.02688121668789667,0.7499255730872285,1998,OUT010,Tier 3,Small,Grocery Store,train
31,Low Fat,NCS17,-0.44690965643230174,-0.5850249923492807,Health and Hygiene,-0.524317678071833,0.6725215838047038,2009,OUT018,Tier 3,Medium,Supermarket Type2,train
32,Low Fat,FDP33,0.91323200836678,-0.535040293787616,Snack Foods,-0.6159177253355185,0.6844298898481691,2009,OUT018,Tier 3,Medium,Supermarket Type2,train
33,Low Fat,FDO23,-0.47492342902158924,-0.6719371620932366,Breads,-0.6159177253355185,0.5832092884787139,2002,OUT045,Tier 2,Medium,Supermarket Type1,train
